DateTime,Temperature,Humidity,Wind Speed,general diffuse flows,diffuse flows,Zone 1 Power Consumption,Zone 2  Power Consumption,Zone 3  Power Consumption
2017-01-01,9.68,68.52,0.32,121.39,25.99,28465.23,17737.79,17868.8
2017-01-02,12.48,71.46,0.08,120.4,27.23,28869.49,19557.73,17820.76
2017-01-03,12.1,74.98,0.08,120.69,28.57,30562.45,20057.27,17620.8
2017-01-04,10.51,75.46,0.08,122.96,28.83,30689.83,20102.08,17673.69
2017-01-05,10.87,71.04,0.08,118.75,29.74,30802.91,20033.94,17664.18
2017-01-06,11.69,77.26,0.15,63.7,59.33,30712.24,20139.77,17481.08
2017-01-07,12.02,76.22,0.08,89.0,48.85,30612.7,19252.43,17985.94
2017-01-08,14.72,69.11,0.08,71.08,46.39,29559.92,17221.12,17810.6
2017-01-09,15.49,68.33,0.07,110.43,55.83,30540.25,19102.63,17417.79
2017-01-10,14.02,75.68,0.08,112.5,48.0,31863.29,19405.27,17425.34
2017-01-11,13.28,66.89,0.08,105.36,55.92,31057.76,18717.43,17307.59
2017-01-12,13.9,75.76,0.08,101.72,70.15,32075.95,19837.23,17507.39
2017-01-13,14.63,81.34,0.07,60.07,61.14,31476.08,19515.63,17051.69
2017-01-14,14.99,68.54,0.08,63.07,56.1,30834.68,18788.63,17716.14
2017-01-15,14.23,70.7,0.08,114.77,87.09,26771.52,19632.62,17620.04
2017-01-16,13.37,61.19,0.08,88.96,91.19,30587.26,19720.87,17505.94
2017-01-17,11.37,63.79,0.08,127.43,128.33,31831.65,19180.55,17854.98
2017-01-18,13.68,52.68,0.08,63.72,65.35,32860.51,21175.61,18573.49
2017-01-19,11.64,67.79,0.08,58.06,59.19,32140.21,20905.95,18239.92
2017-01-20,11.17,60.58,0.83,72.24,75.51,31783.16,20637.39,17631.57
2017-01-21,11.18,62.97,0.33,130.46,141.77,31928.02,20048.86,18346.1
2017-01-22,12.84,63.6,0.08,57.79,58.99,30921.69,16761.27,17849.24
2017-01-23,11.42,71.93,0.08,129.09,140.99,32505.4,19702.2,18078.88
2017-01-24,10.84,60.19,0.09,144.55,161.3,31583.25,19651.67,17995.22
2017-01-25,9.88,61.52,0.96,145.5,162.45,32303.67,20058.31,17658.96
2017-01-26,11.22,68.72,0.08,142.47,86.33,32694.64,20066.46,18061.2
2017-01-27,11.85,71.71,0.09,140.24,32.01,32296.75,20191.69,17724.02
2017-01-28,13.52,59.9,2.81,143.51,30.51,31298.23,19075.1,17792.89
2017-01-29,14.56,60.07,4.92,143.11,52.51,29260.59,16838.22,17504.7
2017-01-30,16.62,68.66,4.92,70.38,62.82,31524.01,18932.95,17577.99
2017-01-31,15.27,70.53,4.92,50.24,50.89,31593.97,19179.1,17762.01
2017-02-01,11.24,56.08,4.92,163.06,177.6,31374.19,19077.13,17562.57
2017-02-02,11.11,60.56,4.92,113.12,118.67,31880.93,19304.23,17783.24
